72269 function calls (71874 primitive calls) in 14.067 seconds
Ordered by: cumulative time
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2054    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:41(tuple)
        1    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2067(readprofile)
       49    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2253(_setup)
       40    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1357(_register)
       23    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1340(nametowidget)
      324    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:142(getDictValByPath)
        1    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_ui.py:90(<lambda>)
        1    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_source_file.py:22(save)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        2    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2322(__init__)
       33    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_canvas.py:35(unscale)
       50    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:584(destroy)
       11    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1578(_grid_configure)
      162    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:153(createDictByPath)
       23    0.000    0.000    0.000    0.000 \lib\enum.py:289(__call__)
       12    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2875(add)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      522    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.000    0.000 \lib\genericpath.py:27(isfile)
        9    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2885(add_command)
        4    0.000    0.000    0.000    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.exec}
       13    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1212(bind)
        5    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1956(wm_protocol)
       13    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1195(_bind)
        4    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2690(insert)
       42    0.000    0.000    0.000    0.000 {method 'deletecommand' of '_tkinter.tkapp' objects}
        3    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1599(grid_columnconfigure)
     1068    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2395(__init__)
       46    0.000    0.000    0.000    0.000 {method 'getboolean' of '_tkinter.tkapp' objects}
        8    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1626(grid_rowconfigure)
        1    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2033(_loadtk)
       27    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_source_file.py:58(parents)
       42    0.000    0.000    0.000    0.000 {method 'createcommand' of '_tkinter.tkapp' objects}
        7    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2209(grid_configure)
       23    0.000    0.000    0.000    0.000 \lib\enum.py:531(__new__)
        5    0.000    0.000    0.000    0.000 \prographing_project\sources\text_editor.py:10(getText)
       44    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:35(abs)
       25    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1379(_root)
        7    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1983(wm_title)
        1    0.000    0.000    0.000    0.000 \lib\tkinter\filedialog.py:330(_fixresult)
       27    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_source_file.py:154(<lambda>)
       27    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_source_file.py:197(sortChilds)
       27    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_source_file.py:156(formatStr)
       49    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2295(<listcomp>)
       71    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:21(__str__)
        2    0.000    0.000    0.000    0.000 \lib\ntpath.py:178(split)
      117    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 \lib\tkinter\filedialog.py:306(_fixresult)
       27    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        3    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2879(add_cascade)
       10    0.000    0.000    0.000    0.000 \lib\ntpath.py:122(splitdrive)
      324    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:109(<lambda>)
        4    0.000    0.000    0.000    0.000 \lib\ntpath.py:75(join)
       40    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1695(__init__)
        4    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2680(get)
       77    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:47(debug_return)
        3    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1936(wm_minsize)
        1    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:44(round)
        1    0.000    0.000    0.000    0.000 \lib\ntpath.py:212(basename)
       49    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       27    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:38(fromTuple)
      162    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       40    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:3244(get)
        4    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1882(wm_iconname)
        1    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:3269(insert)
        2    0.000    0.000    0.000    0.000 \lib\encodings\cp1251.py:22(decode)
       81    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       40    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       50    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 \lib\_bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 \lib\_collections_abc.py:664(__contains__)
        2    0.000    0.000    0.000    0.000 {method 'getvar' of '_tkinter.tkapp' objects}
       49    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
       42    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 \lib\os.py:676(__getitem__)
        1    0.000    0.000    0.000    0.000 \lib\ntpath.py:201(splitext)
       26    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_source_file.py:198(<lambda>)
        1    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
       27    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_source_file.py:153(formatStrOp)
        1    0.000    0.000    0.000    0.000 \lib\genericpath.py:121(_splitext)
        1    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_canvas.py:8(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
